otu	phylum
OTU758	Verrucomicrobia
OTU759	Acidobacteria
OTU760	Actinobacteria
OTU761	Chloroflexi
OTU762	Acidobacteria
OTU763	Actinobacteria
OTU764	Proteobacteria
OTU765	Chloroflexi
OTU766	Bacteroidetes
OTU767	Proteobacteria
OTU768	Bacteroidetes
OTU769	Proteobacteria
OTU770	Proteobacteria
OTU771	Chloroflexi
OTU772	Bacteroidetes
OTU773	Bacteroidetes
OTU774	Actinobacteria
OTU775	Actinobacteria
OTU776	Actinobacteria
OTU777	Actinobacteria
OTU778	Chloroflexi
OTU779	Actinobacteria
OTU780	Planctomycetes
OTU781	Actinobacteria
OTU782	Actinobacteria
OTU783	Bacteroidetes
OTU784	Proteobacteria
OTU785	Nitrospirae
OTU786	Proteobacteria
OTU787	Actinobacteria
OTU788	Actinobacteria
OTU789	Planctomycetes
OTU790	Proteobacteria
OTU791	Chloroflexi
OTU792	Actinobacteria
OTU793	Actinobacteria
OTU794	Actinobacteria
OTU795	Proteobacteria
OTU796	Acidobacteria
OTU797	Proteobacteria
OTU798	Chloroflexi
OTU799	Proteobacteria
OTU800	Proteobacteria
OTU801	Actinobacteria
OTU802	Proteobacteria
OTU803	Actinobacteria
OTU804	Proteobacteria
OTU805	Acidobacteria
OTU806	Actinobacteria
OTU807	Acidobacteria
OTU808	Chloroflexi
OTU809	Actinobacteria
OTU810	Planctomycetes
OTU811	Planctomycetes
OTU812	Actinobacteria
OTU813	Chloroflexi
OTU814	Chloroflexi
OTU815	Chloroflexi
OTU816	Verrucomicrobia
OTU817	Acidobacteria
OTU818	Proteobacteria
OTU819	Saccharibacteria
OTU820	Proteobacteria
OTU821	Actinobacteria
OTU822	Actinobacteria
OTU823	Nitrospirae
OTU824	Chloroflexi
OTU825	Proteobacteria
OTU826	Planctomycetes
OTU827	Planctomycetes
OTU828	Proteobacteria
OTU829	Proteobacteria
OTU830	Proteobacteria
OTU831	Chloroflexi
OTU832	Actinobacteria
OTU833	Chloroflexi
OTU834	Chloroflexi
OTU835	Proteobacteria
OTU836	Acidobacteria
OTU837	Chloroflexi
OTU838	Gemmatimonadetes
OTU839	Proteobacteria
OTU840	Proteobacteria
OTU841	Proteobacteria
OTU842	Nitrospirae
OTU843	Firmicutes
OTU844	Proteobacteria
OTU845	Acidobacteria
OTU846	Proteobacteria
OTU847	Bacteroidetes
OTU848	Actinobacteria
OTU849	Proteobacteria
OTU850	Acidobacteria
OTU851	Actinobacteria
OTU852	Proteobacteria
OTU853	Thaumarchaeota
OTU854	Chloroflexi
OTU855	Verrucomicrobia
OTU856	Proteobacteria
OTU857	Proteobacteria
OTU858	Verrucomicrobia
OTU859	Actinobacteria
OTU860	Gemmatimonadetes
OTU861	Proteobacteria
OTU862	Proteobacteria
OTU863	Verrucomicrobia
OTU864	Actinobacteria
OTU865	Actinobacteria
OTU866	Proteobacteria
OTU867	Bacteroidetes
OTU868	Verrucomicrobia
OTU869	Actinobacteria
OTU870	Cyanobacteria
OTU871	Actinobacteria
OTU872	Parcubacteria
OTU873	Nitrospirae
OTU874	Cyanobacteria
OTU875	Proteobacteria
OTU876	Chloroflexi
OTU877	Acidobacteria
OTU878	Acidobacteria
OTU879	Acidobacteria
OTU880	Proteobacteria
OTU881	Cyanobacteria
OTU882	Planctomycetes
OTU883	Chloroflexi
OTU884	Proteobacteria
OTU885	Gemmatimonadetes
OTU886	Actinobacteria
OTU887	Actinobacteria
OTU888	Actinobacteria
OTU889	Chloroflexi
OTU890	Chloroflexi
OTU891	Actinobacteria
OTU892	Actinobacteria
OTU893	Acidobacteria
OTU894	Proteobacteria
OTU895	Actinobacteria
OTU896	Actinobacteria
OTU897	Proteobacteria
OTU898	Proteobacteria
OTU899	Proteobacteria
OTU900	Planctomycetes
OTU901	Chloroflexi
OTU902	Actinobacteria
OTU903	Proteobacteria
OTU904	Actinobacteria
OTU905	Acidobacteria
OTU906	Planctomycetes
OTU907	Actinobacteria
OTU908	Firmicutes
OTU909	Actinobacteria
OTU910	Actinobacteria
OTU911	Gemmatimonadetes
OTU912	Proteobacteria
OTU913	Chloroflexi
OTU914	Actinobacteria
OTU915	Actinobacteria
OTU916	Bacteroidetes
OTU917	Chloroflexi
OTU918	Saccharibacteria
OTU919	Chloroflexi
OTU920	Chloroflexi
OTU921	Proteobacteria
OTU922	Acidobacteria
OTU923	Chloroflexi
OTU924	Verrucomicrobia
OTU925	Actinobacteria
OTU926	Actinobacteria
OTU927	Proteobacteria
OTU928	Proteobacteria
OTU929	Actinobacteria
OTU930	Proteobacteria
OTU931	Chloroflexi
OTU932	Chloroflexi
OTU933	Proteobacteria
OTU934	Chloroflexi
OTU935	Proteobacteria
OTU936	Actinobacteria
OTU937	Chloroflexi
OTU938	Proteobacteria
OTU939	Proteobacteria
OTU940	Proteobacteria
OTU941	Acidobacteria
OTU942	Proteobacteria
OTU943	Gemmatimonadetes
OTU944	Actinobacteria
OTU945	Gemmatimonadetes
OTU946	Planctomycetes
OTU947	Proteobacteria
OTU948	Actinobacteria
OTU949	Acidobacteria
OTU950	Chloroflexi
OTU951	Proteobacteria
OTU952	Proteobacteria
OTU953	Proteobacteria
OTU954	Planctomycetes
OTU955	Proteobacteria
OTU956	Chloroflexi
OTU957	Actinobacteria
OTU958	Acidobacteria
OTU959	Proteobacteria
OTU960	Proteobacteria
OTU961	Acidobacteria
OTU962	Proteobacteria
OTU963	Thaumarchaeota
OTU964	Proteobacteria
OTU965	Chloroflexi
OTU966	Actinobacteria
OTU967	Bacteroidetes
OTU968	Chloroflexi
OTU969	Chloroflexi
OTU970	Proteobacteria
OTU971	Gemmatimonadetes
OTU972	Acidobacteria
OTU973	Chloroflexi
OTU974	Proteobacteria
OTU975	Actinobacteria
OTU976	Gemmatimonadetes
OTU977	Actinobacteria
OTU978	Proteobacteria
OTU979	Acidobacteria
OTU980	Actinobacteria
OTU981	Bacteroidetes
OTU982	Acidobacteria
OTU983	Actinobacteria
OTU984	Proteobacteria
OTU985	Proteobacteria
OTU986	Proteobacteria
OTU987	Chloroflexi
OTU988	Gemmatimonadetes
OTU989	Acidobacteria
OTU990	Proteobacteria
OTU991	Chloroflexi
OTU992	Proteobacteria
OTU993	Actinobacteria
OTU994	Saccharibacteria
OTU995	Chloroflexi
OTU996	Chloroflexi
OTU997	Firmicutes
OTU998	Proteobacteria
OTU999	Bacteroidetes
